"word","cdv.txt","cdv.txt.zip","groen.txt","groen.txt.zip","nva.txt","nva.txt.zip","openvld.txt","openvld.txt.zip","pvda.txt","pvda.txt.zip","spa.txt","spa.txt.zip","vlaamsbelang.txt","vlaamsbelang.txt.zip"
"rechten",9,0,102,0,14,0,11,0,34,0,61,0,3,0
"pleit",2,0,110,0,1,0,5,0,1,0,34,0,6,0
"nood",17,0,106,0,10,0,6,0,7,0,51,0,2,0
"wel",16,0,99,0,22,0,11,0,45,0,60,0,9,0
"gemeenten",9,0,104,0,34,0,12,0,23,0,53,0,5,0
"belangrijk",28,0,103,0,16,0,4,0,8,0,55,0,3,0
"wanneer",14,0,93,0,27,0,12,0,16,0,74,0,12,0
"zorgt",18,0,109,0,14,0,8,0,15,0,38,0,1,0
"voeren",20,0,89,0,54,0,11,0,14,0,65,0,2,0
"wonen",16,0,105,0,22,0,6,0,6,0,49,0,7,0
"termijn",16,0,91,0,18,0,9,0,12,0,75,0,5,0
"tijd",10,0,97,0,27,0,19,0,39,0,59,0,8,0
"vormen",8,0,101,0,17,0,8,0,16,0,55,0,5,0
"bescherming",48,0,77,0,18,0,8,0,21,0,78,0,4,0
"openbaar",14,0,94,0,14,0,9,0,38,0,60,0,3,0
"bieden",17,0,74,0,29,0,8,0,9,0,85,0,3,0
"verandering",3,0,8,0,106,0,1,0,1,0,5,0,0,0
"scholen",16,0,101,0,17,0,8,0,16,0,48,0,14,0
"belgische",6,0,84,0,13,0,9,0,65,0,50,0,16,0
"kind",9,0,85,0,11,0,11,0,16,0,73,0,3,0
"unie",1,0,62,0,29,0,4,0,65,0,70,0,3,0
"openbare",8,0,66,0,12,0,1,0,88,0,26,0,14,0
"sector",22,0,67,0,20,0,18,0,31,0,86,0,1,0
"ouderen",8,0,96,0,5,0,8,0,26,0,47,0,1,0
"vlaams",27,0,58,0,44,0,6,0,14,0,27,0,87,0
"toegang",13,0,79,0,6,0,8,0,13,0,75,0,0,0
"kosten",18,0,92,0,12,0,8,0,37,0,51,0,5,0
"ter",9,0,100,0,20,0,3,0,11,0,33,0,5,0
"jaren",25,0,88,0,33,0,12,0,45,0,47,0,7,0
"informatie",39,0,74,0,11,0,4,0,10,0,72,0,4,0
"elkaar",22,0,82,0,27,0,20,0,13,0,67,0,3,0
"weinig",2,0,96,0,14,0,2,0,17,0,39,0,4,0
"weg",24,0,73,0,29,0,7,0,46,0,69,0,8,0
"begeleiding",19,0,88,0,20,0,3,0,10,0,56,0,1,0
"langer",5,0,85,0,27,0,16,0,37,0,55,0,4,0
"daarbij",11,0,74,0,55,0,18,0,14,0,62,0,8,0
"toekomst",28,0,56,0,12,0,11,0,31,0,86,0,5,0
"groene",3,0,93,0,9,0,2,0,43,0,9,0,3,0
"aanbod",21,0,69,0,22,0,6,0,7,0,77,0,2,0
"deel",22,0,81,0,20,0,9,0,44,0,56,0,1,0
"ouders",7,0,86,0,19,0,10,0,11,0,58,0,3,0
"groei",94,0,23,0,16,0,7,0,6,0,35,0,0,0
"rekening",18,0,88,0,24,0,13,0,27,0,50,0,0,0
"producten",9,0,94,0,5,0,7,0,18,0,35,0,0,0
"visie",12,0,80,0,61,0,3,0,32,0,13,0,4,0
"handicap",20,0,62,0,2,0,5,0,1,0,79,0,0,0
"duurzaam",20,0,92,0,9,0,2,0,5,0,38,0,0,0
"overheden",11,0,82,0,14,0,12,0,10,0,61,0,1,0
"mobiliteit",40,0,48,0,11,0,6,0,5,0,83,0,2,0
"vervoer",9,0,91,0,11,0,8,0,25,0,38,0,2,0
"initiatieven",11,0,89,0,29,0,5,0,6,0,38,0,0,0
"gezinnen",23,0,44,0,21,0,7,0,33,0,86,0,5,0
"realiseren",8,0,90,0,22,0,12,0,4,0,37,0,1,0
"ervoor",4,0,82,0,13,0,13,0,19,0,52,0,3,0
"hen",7,0,56,0,27,0,14,0,28,0,78,0,7,0
"steun",2,0,89,0,15,0,4,0,9,0,31,0,0,0
"terug",6,0,91,0,13,0,4,0,13,0,25,0,3,0
"zullen",28,0,82,0,29,0,12,0,33,0,44,0,14,0
"elk",15,0,71,0,31,0,9,0,26,0,62,0,2,0
"gezondheidszorg",19,0,54,0,21,0,8,0,40,0,75,0,6,0
"staan",13,0,76,0,32,0,10,0,37,0,52,0,9,0
"maatschappelijke",17,0,69,0,17,0,11,0,7,0,67,0,2,0
"procent",2,0,30,0,6,0,0,0,26,0,86,0,1,0
"actief",3,0,78,0,20,0,3,0,11,0,53,0,2,0
"volgens",16,0,82,0,22,0,2,0,38,0,34,0,4,0
"brengen",14,0,77,0,21,0,5,0,15,0,53,0,1,0
"landbouw",5,0,89,0,9,0,5,0,1,0,9,0,4,0
"financiering",26,0,83,0,15,0,5,0,13,0,37,0,4,0
"twee",7,0,54,0,19,0,10,0,73,0,31,0,2,0
"miljard",24,0,19,0,5,0,9,0,87,0,9,0,4,0
"diensten",9,0,62,0,35,0,5,0,49,0,50,0,0,0
"gezondheid",6,0,75,0,7,0,3,0,15,0,53,0,2,0
"kansen",19,0,57,0,23,0,16,0,10,0,72,0,3,0
"projecten",10,0,80,0,7,0,10,0,2,0,43,0,2,0
"echter",4,0,83,0,18,0,3,0,0,0,33,0,10,0
"ontwikkelen",20,0,82,0,13,0,4,0,4,0,36,0,1,0
"pensioen",13,0,55,0,15,0,18,0,63,0,48,0,2,0
"brussel",15,0,78,0,21,0,5,0,38,0,26,0,32,0
"strijd",16,0,56,0,9,0,5,0,20,0,70,0,0,0
"bouwen",11,0,71,0,23,0,9,0,15,0,54,0,1,0
"ruimtelijke",5,0,83,0,9,0,1,0,1,0,25,0,4,0
"naast",10,0,79,0,17,0,5,0,17,0,40,0,4,0
"ecologische",5,0,84,0,2,0,0,0,5,0,9,0,0,0
"lidstaten",5,0,68,0,30,0,1,0,13,0,53,0,5,0
"tijdens",11,0,75,0,10,0,2,0,8,0,46,0,2,0
"immers",4,0,80,0,11,0,10,0,12,0,36,0,6,0
"net",5,0,70,0,14,0,16,0,20,0,54,0,9,0
"banken",8,0,45,0,2,0,2,0,60,0,50,0,0,0
"ondernemers",21,0,8,0,17,0,20,0,3,0,81,0,1,0
"arbeidsmarkt",31,0,66,0,29,0,9,0,18,0,51,0,3,0
"vanuit",6,0,70,0,17,0,8,0,11,0,52,0,5,0
"kiezen",11,0,64,0,30,0,31,0,7,0,53,0,4,0
"inzetten",3,0,62,0,14,0,10,0,5,0,60,0,2,0
"sport",10,0,79,0,13,0,3,0,2,0,28,0,1,0
"vraagt",6,0,73,0,3,0,1,0,5,0,41,0,0,0
"duidelijk",12,0,73,0,15,0,7,0,10,0,44,0,2,0
"steden",1,0,74,0,7,0,9,0,13,0,40,0,4,0
"betalen",3,0,63,0,13,0,5,0,52,0,30,0,0,0
"zekerheid",39,0,35,0,32,0,3,0,51,0,54,0,12,0
"gemaakt",6,0,78,0,12,0,9,0,16,0,31,0,9,0
"hierbij",4,0,74,0,16,0,6,0,1,0,36,0,3,0
"hoger",27,0,53,0,20,0,6,0,24,0,61,0,0,0
"werkt",7,0,56,0,28,0,16,0,12,0,60,0,1,0
"inkomen",7,0,50,0,5,0,8,0,61,0,37,0,5,0
"spelen",5,0,72,0,12,0,9,0,9,0,41,0,4,0
"voorstellen",1,0,75,0,12,0,4,0,29,0,14,0,1,0
"diversiteit",3,0,71,0,6,0,6,0,2,0,39,0,0,0
"garanderen",17,0,67,0,15,0,7,0,7,0,47,0,0,0
"daarnaast",16,0,69,0,14,0,5,0,6,0,43,0,1,0
"kans",6,0,61,0,10,0,12,0,13,0,55,0,3,0
"sterk",21,0,64,0,16,0,16,0,14,0,51,0,7,0
"geval",5,0,72,0,17,0,8,0,10,0,33,0,2,0
"dienstverlening",8,0,33,0,28,0,8,0,32,0,66,0,1,0
"betrokken",5,0,68,0,19,0,4,0,10,0,40,0,2,0
"mogen",9,0,57,0,7,0,4,0,28,0,53,0,4,0
"leerlingen",23,0,70,0,18,0,8,0,29,0,25,0,1,0
"controle",2,0,62,0,16,0,2,0,20,0,48,0,10,0
"woningen",2,0,71,0,12,0,3,0,21,0,28,0,1,0
"pensioenen",5,0,27,0,12,0,2,0,73,0,9,0,8,0
"zelfs",7,0,55,0,25,0,3,0,43,0,42,0,5,0
"cultuur",12,0,52,0,27,0,7,0,4,0,57,0,4,0
"wet",4,0,67,0,6,0,3,0,39,0,15,0,1,0
"doelstellingen",7,0,67,0,10,0,7,0,6,0,40,0,1,0
"regels",2,0,63,0,22,0,15,0,16,0,44,0,2,0
"waarin",11,0,66,0,16,0,9,0,15,0,42,0,2,0
"milieu",8,0,74,0,8,0,2,0,9,0,15,0,2,0
"inzake",3,0,58,0,23,0,13,0,9,0,51,0,9,0
"brede",5,0,69,0,13,0,5,0,5,0,33,0,3,0
"overleg",42,0,64,0,8,0,5,0,3,0,19,0,4,0
"kleine",7,0,51,0,10,0,2,0,18,0,57,0,2,0
"verantwoordelijkheid",12,0,47,0,48,0,8,0,7,0,46,0,5,0
"normen",1,0,72,0,6,0,0,0,9,0,14,0,1,0
"culturele",6,0,57,0,19,0,4,0,3,0,50,0,3,0
"snel",10,0,63,0,27,0,3,0,18,0,39,0,5,0
