"word","cdv.txt","groen.txt","nva.txt","openvld.txt","pvda.txt","spa.txt","vlaamsbelang.txt"
"veiligheid",34,58,20,16,5,30,8
"regels",8,63,22,15,16,44,2
"woningen",34,71,12,3,21,28,1
"betrokken",26,68,19,4,10,40,2
"gezondheid",14,75,7,3,15,53,2
"kans",15,61,10,12,13,55,3
"specifieke",48,56,17,4,4,39,1
"bepaalde",15,66,22,11,15,35,4
"banken",8,45,2,2,60,50,0
"besturen",45,56,17,7,6,36,0
"culturele",31,57,19,4,3,50,3
"natuur",15,130,7,1,2,12,0
"publieke",12,55,16,4,36,43,1
"steun",19,89,15,4,9,31,0
"<e2><97><8a>",166,0,0,0,0,0,0
"bevoegdheden",37,27,27,9,13,44,9
"geeft",18,60,17,11,18,41,0
"terug",16,91,13,4,13,25,3
"vorm",32,53,14,5,14,46,1
"echter",17,83,18,3,0,33,10
"woning",34,46,5,15,6,55,2
"leggen",30,50,26,9,17,25,5
"leiden",34,50,13,2,15,42,6
"noodzakelijk",30,58,11,4,9,47,3
"vinden",24,43,13,11,16,54,1
"zoveel",19,60,22,7,18,32,4
"pleit",4,110,1,5,1,34,6
"tijdens",18,75,10,2,8,46,2
"kennis",32,54,18,6,3,45,1
"kleine",19,51,10,2,18,57,2
"zeker",26,64,18,6,5,37,3
"miljard",25,19,5,9,87,9,4
"sterke",29,48,18,12,3,42,6
"leren",41,49,10,12,7,37,1
"maximaal",27,51,22,12,7,36,2
"tweede",24,60,13,6,20,34,0
"sport",30,79,13,3,2,28,1
"staatshervorming",62,26,24,11,8,20,5
"biedt",30,54,14,5,6,43,3
"bijdragen",26,40,23,2,23,40,1
"doelstellingen",24,67,10,7,6,40,1
"hierbij",19,74,16,6,1,36,3
"ondernemers",25,8,17,20,3,81,1
"geval",11,72,17,8,10,33,2
"maat",42,45,13,10,7,35,1
"mogelijkheden",43,51,8,13,3,32,3
"organisaties",23,61,18,2,8,41,0
"beperkt",18,63,16,7,18,26,4
"gezin",26,42,16,8,13,45,2
"markt",16,31,13,4,42,46,0
"vragen",15,65,17,6,15,33,1
"jobs",9,39,17,9,20,57,0
"procent",2,30,6,0,26,86,1
"politieke",12,50,27,4,26,24,7
"hoog",16,61,10,6,17,36,3
"vermijden",27,52,18,2,8,40,2
"ruimtelijke",25,83,9,1,1,25,4
"administratieve",28,41,24,13,6,32,3
"hoge",23,71,15,5,11,20,2
"brede",18,69,13,5,5,33,3
"internationaal",24,58,18,7,3,34,2
"instellingen",28,47,19,6,11,31,3
"landbouw",28,89,9,5,1,9,4
"diversiteit",19,71,6,6,2,39,0
"duidelijke",28,56,17,6,2,30,4
"impact",27,53,14,3,6,40,0
"voorstellen",7,75,12,4,29,14,1
"vraagt",19,73,3,1,5,41,0
"creëren",0,49,23,16,14,39,0
"crisis",14,25,10,2,45,42,3
"leerkrachten",40,48,13,9,14,13,4
"welke",15,56,21,7,10,31,1
"welzijn",38,49,10,6,5,29,4
"bevolking",21,26,12,3,46,29,3
"grotere",29,56,9,3,10,31,2
"hernieuwbare",27,67,6,9,7,23,1
"hervorming",26,45,11,7,13,33,5
"regelgeving",27,37,24,12,3,35,2
"wet",9,67,6,3,39,15,1
"druk",12,52,17,3,21,26,8
"infrastructuur",31,54,8,3,9,32,2
"kwaliteitsvolle",47,32,8,1,5,44,2
"miljoen",23,27,11,2,64,9,3
"respect",41,34,14,12,9,27,2
"verbeteren",28,49,10,2,12,35,3
"vraag",20,57,9,7,26,20,0
"discriminatie",8,44,4,5,27,49,1
"geweld",17,50,5,1,14,49,1
"participatie",26,54,10,6,4,37,0
"pensioenen",6,27,12,2,73,9,8
"pleiten",18,62,0,5,15,33,4
"beste",21,38,8,8,12,44,5
"nodige",23,52,13,6,3,34,5
"kinderopvang",29,39,11,4,22,28,2
"media",18,42,11,2,5,49,8
"toegankelijk",21,50,6,3,10,45,0
"bijzonder",41,41,14,6,4,25,3
"daarvoor",17,62,6,6,14,26,3
"centraal",15,54,17,4,4,38,1
"dient",18,49,8,16,8,22,12
"indien",18,64,11,2,7,28,3
"noden",31,30,10,5,7,49,1
"oog",28,49,18,1,10,24,3
"enkele",12,41,15,5,24,31,4
"inspanningen",27,44,21,7,8,24,1
"integratie",32,52,20,4,4,18,2
"ondernemen",33,24,23,9,1,41,1
"werkgevers",12,29,18,8,23,42,0
"bijzondere",43,44,12,4,4,19,5
"ligt",12,41,18,3,21,32,4
"mogelijkheid",17,49,14,9,6,32,4
"neemt",11,51,16,2,18,29,4
"parlement",5,64,21,1,12,23,5
"dienen",12,62,3,4,12,26,10
"keuze",15,51,11,9,11,25,7
"statuut",22,47,11,5,16,25,3
"jonge",30,42,15,3,8,27,3
"nationale",6,54,12,0,24,31,1
"programma",6,42,2,59,9,6,4
"stelt",10,69,8,2,16,20,3
"verandering",7,8,106,1,1,5,0
"ervan",16,46,15,5,18,21,6
"verplicht",3,60,8,3,29,23,1
"vertrouwen",44,24,11,9,2,34,3
"zeer",20,45,5,1,14,38,4
